,index_k,company_code,company_name,date,stock_price,foreign_demand,equity_ratio,per,pbr,type_of_industry,type_of_market,accounting_period,market_capitalization,trading_value
0,1.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-01-21,359,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
1,2.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-01-22,338,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
2,3.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-01-23,336,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
3,4.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-01-24,337,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
4,5.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-01-25,332,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
5,6.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-01-28,331,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
6,7.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-01-29,334,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
7,8.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-01-30,327,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
8,9.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-01-31,330,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
9,10.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-01,324,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
10,11.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-04,345,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
11,12.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-05,359,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
12,13.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-06,342,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
13,14.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-07,336,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
14,15.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-08,325,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
15,16.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-12,328,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
16,17.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-13,323,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
17,18.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-14,297,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
18,19.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-15,298,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
19,20.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-18,301,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
20,21.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-19,298,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
21,22.0,6366,Ｃｈｉｙｏｄａ　Ｃｏｒｐｏｒａｔｉｏｎ,2019-02-20,309,62,17.06,13.033793103448277,0.5279310344827587,建設業,スタンダード,3月末日,"93,196","390,879"
